cancer_code,fusion_family,gene_5prime,gene_5prime_ensembl_id,gene_5prime_kind,gene_5prime_family,gene_3prime,gene_3prime_ensembl_id,gene_3prime_kind,gene_3prime_family,frequency,is_defining,pathognomonic,rnaseq_detectable,mechanism,confidence,pmid,notes
SARC_RMS_SSRMS,TEAD1-NCOA2,TEAD1,ENSG00000187079,gene,TEAD,NCOA2,ENSG00000140396,gene,NR coactivator,subset,true,true,yes,fusion_transcript,low,PMID:26501226,alternative infantile spindle cell RMS fusion
SARC_RMS_SSRMS,(none),,,none,,,,none,,,false,false,no,other,high,,"older child/adult sclerosing-spindle RMS driven by MYOD1 L122R point mutation, not a fusion"
SARC_CHON_MESENCHYMAL,HEY1-NCOA2,HEY1,ENSG00000164683,gene,bHLH,NCOA2,ENSG00000140396,gene,NR coactivator,~80%,true,true,yes,fusion_transcript,high,PMID:22034177,mesenchymal chondrosarcoma; ins(8;8) or t(8;8)
SARC_CHON_MESENCHYMAL,IRF2BP2-CDX1,IRF2BP2,ENSG00000168264,gene,,CDX1,ENSG00000113722,gene,homeobox,rare,false,false,yes,fusion_transcript,low,PMID:23185413,rare mesenchymal chondrosarcoma variant
SARC_EWSR1_NONETS,EWSR1-NFATC2,EWSR1,ENSG00000182944,gene,FET,NFATC2,ENSG00000101096,gene,NFAT,recurrent,true,false,yes,fusion_transcript,high,PMID:19318479,EWSR1-non-ETS round cell sarcoma; fusion amplification supports malignant context
SARC_EWSR1_NONETS,EWSR1-PATZ1,EWSR1,ENSG00000182944,gene,FET,PATZ1,ENSG00000100105,gene,zinc-finger TF,recurrent,true,false,yes,fusion_transcript,high,PMID:31189996,EWSR1-PATZ1 spindle and round cell sarcoma; polyphenotypic and morphologically variable
SARC_EWSR1_NONETS,EWSR1-SMARCA5,EWSR1,ENSG00000182944,gene,FET,SMARCA5,ENSG00000153147,gene,chromatin remodeler,rare,true,false,yes,fusion_transcript,medium,PMID:21113140,originally reported as extraskeletal Ewing/PNET before recognition of EWSR1-non-ETS sarcomas
SARC_SEF,EWSR1-CREB3L1,EWSR1,ENSG00000182944,gene,FET,CREB3L1,ENSG00000157613,gene,bZIP(CREB/ATF),common,true,false,yes,fusion_transcript,high,PMID:24441665,recurrent fusion in pure sclerosing epithelioid fibrosarcoma; also occurs rarely in LGFMS
SARC_SEF,EWSR1-CREB3L2,EWSR1,ENSG00000182944,gene,FET,CREB3L2,ENSG00000182158,gene,bZIP(CREB/ATF),rare,true,false,yes,fusion_transcript,medium,PMID:31675134,rare alternative fusion in primary osseous sclerosing epithelioid fibrosarcoma
SARC_SEF,EWSR1-CREB3L3,EWSR1,ENSG00000182944,gene,FET,CREB3L3,ENSG00000060566,gene,bZIP(CREB/ATF),rare,true,false,yes,fusion_transcript,medium,PMID:28569045,rare alternative fusion in sclerosing epithelioid fibrosarcoma
SARC_NTRK_SPINDLE,TPM3-NTRK1,TPM3,ENSG00000143549,gene,tropomyosin,NTRK1,ENSG00000198400,gene,RTK,reported,true,false,yes,fusion_transcript,high,PMID:35149769,NTRK-rearranged spindle cell neoplasm; molecular class is defining but this pair is not entity-specific
SARC_NTRK_SPINDLE,LMNA-NTRK1,LMNA,ENSG00000160789,gene,nuclear lamina,NTRK1,ENSG00000198400,gene,RTK,reported,true,false,yes,fusion_transcript,high,PMID:35149769,NTRK-rearranged spindle cell neoplasm; molecular class is defining but this pair is not entity-specific
SARC_NTRK_SPINDLE,STRN-NTRK2,STRN,ENSG00000115808,gene,striatin,NTRK2,ENSG00000148053,gene,RTK,reported,true,false,yes,fusion_transcript,medium,PMID:38525823,NTRK-rearranged spindle cell neoplasm; molecular class is defining but this pair is not entity-specific
SARC_NTRK_SPINDLE,SQSTM1-NTRK3,SQSTM1,ENSG00000161011,gene,autophagy adaptor,NTRK3,ENSG00000140538,gene,RTK,reported,true,false,yes,fusion_transcript,medium,PMID:35149769,NTRK-rearranged spindle cell neoplasm; molecular class is defining but this pair is not entity-specific
SARC_PMT_MALIGNANT,FN1-FGFR1,FN1,ENSG00000115414,gene,extracellular matrix,FGFR1,ENSG00000077782,gene,RTK,reported,false,false,yes,fusion_transcript,medium,PMID:31066955,reported in a possible malignant phosphaturic mesenchymal tumour; associated with PMT but not defining malignant behavior
SARC_EIMS,RANBP2-ALK,RANBP2,ENSG00000153201,gene,nucleoporin,ALK,ENSG00000171094,gene,RTK,majority,true,false,surrogate,fusion_transcript,high,PMID:26139079,epithelioid inflammatory myofibroblastic sarcoma; nuclear-membrane ALK staining is a diagnostic surrogate
SARC_CHON,(none),,,none,,,,none,,,false,false,no,other,high,,"conventional chondrosarcoma driven by IDH1/IDH2 mutation, not a fusion"
SARC_ESS_LG,JAZF1-SUZ12,JAZF1,ENSG00000153814,gene,,SUZ12,ENSG00000178691,gene,PRC2/Polycomb,~50%,true,true,yes,fusion_transcript,high,PMID:16049311,low-grade endometrial stromal sarcoma; t(7;17); SUZ12=JJAZ1
SARC_ESS_LG,JAZF1-PHF1,JAZF1,ENSG00000153814,gene,,PHF1,ENSG00000112511,gene,PRC2/Polycomb,minority,true,true,yes,fusion_transcript,medium,PMID:16397222,variant; PHF1 (6p21) recurrent partner
SARC_ESS_LG,EPC1-PHF1,EPC1,ENSG00000120616,gene,PRC2/Polycomb,PHF1,ENSG00000112511,gene,PRC2/Polycomb,minority,true,true,yes,fusion_transcript,medium,PMID:16397222,PHF1-rearranged LG-ESS variant
SARC_ESS_HG,YWHAE-NUTM2A,YWHAE,ENSG00000108953,gene,14-3-3,NUTM2A,ENSG00000184923,gene,NUT,common,true,true,yes,fusion_transcript,high,PMID:22456610,high-grade endometrial stromal sarcoma; t(10;17); NUTM2A/B=FAM22A/B; cyclin D1+
SARC_ESS_HG,YWHAE-NUTM2B,YWHAE,ENSG00000108953,gene,14-3-3,NUTM2B,ENSG00000188199,gene,NUT,common,true,true,yes,fusion_transcript,high,PMID:22456610,paralogous 3' partner
SARC_ESS_HG,ZC3H7B-BCOR,ZC3H7B,ENSG00000100403,gene,,BCOR,ENSG00000183337,gene,PRC2/Polycomb,subset,true,false,yes,fusion_transcript,medium,PMID:23580382,BCOR-rearranged HG-ESS subset; BCOR ITD-related morphology
SARC_LMS,(none),,,none,,,,none,,,false,false,no,other,high,,"leiomyosarcoma: complex karyotype, TP53/RB1/PTEN loss; no recurrent fusion"
SARC_UPS,(none),,,none,,,,none,,,false,false,no,other,high,,"undifferentiated pleomorphic sarcoma: complex genome, no defining fusion"
SARC_MYXFIB,(none),,,none,,,,none,,,false,false,no,other,high,,"myxofibrosarcoma: complex karyotype, no recurrent fusion"
SARC_DDLPS,(none),,,none,,,,none,,,false,false,no,other,high,,"dedifferentiated liposarcoma: 12q13-15 amplification (MDM2/CDK4), not a fusion"
SARC_WDLPS,(none),,,none,,,,none,,,false,false,no,other,high,,"well-differentiated liposarcoma: MDM2/CDK4 amplification (ring/giant marker chr), not a fusion"
SARC_PLEOLPS,(none),,,none,,,,none,,,false,false,no,other,high,,"pleomorphic liposarcoma: complex karyotype, TP53/RB1 loss; no defining fusion"
SARC_GIST,(none),,,none,,,,none,,,false,false,no,other,high,,GIST: KIT or PDGFRA activating mutation (or SDH-deficient); not fusion-driven
SARC_MPNST,(none),,,none,,,,none,,,false,false,no,other,high,,MPNST: NF1 loss + SUZ12/EED (PRC2) loss + CDKN2A; not fusion-driven
SARC_EPITH,(none),,,none,,,,none,,,false,false,no,other,high,,"epithelioid sarcoma: SMARCB1/INI1 loss (deletion), not a fusion"
SARC_KS,(none),,,none,,,,none,,,false,false,no,other,high,,"Kaposi sarcoma: HHV8/KSHV viral oncogenesis, not a chromosomal fusion"
SARC_OS,(none),,,none,,,,none,,,false,false,no,other,high,,"osteosarcoma: complex/chaotic karyotype, chromothripsis, TP53/RB1; no recurrent fusion"
SARC_RMS_ERMS,(none),,,none,,,,none,,,false,false,no,other,high,,"embryonal RMS: RAS-pathway mutations, 11p15 LOH; fusion-negative"
SARC_CHOR,(none),,,none,,,,none,,,false,false,surrogate,other,high,,chordoma: TBXT(brachyury) duplication/overexpression drives; not a fusion (brachyury IHC)
SARC_GCTB,(none),,,none,,,,none,,,false,false,surrogate,other,high,,giant cell tumor of bone: H3F3A (H3-3A) G34W point mutation; not a fusion
LAML,RUNX1-RUNX1T1,RUNX1,ENSG00000159216,gene,CBF,RUNX1T1,ENSG00000079102,gene,CBF,common,true,true,yes,fusion_transcript,high,PMID:31935293,AML t(8;21)(q22;q22); core-binding factor; RUNX1T1=ETO/MTG8; favorable
LAML,CBFB-MYH11,CBFB,ENSG00000067955,gene,CBF,MYH11,ENSG00000133392,gene,myosin,common,true,true,yes,fusion_transcript,high,PMID:8142642,AML inv(16)(p13q22)/t(16;16); CBF-AML; favorable
LAML,KMT2A-MLLT3,KMT2A,ENSG00000118058,gene,KMT/HMTase,MLLT3,ENSG00000171843,gene,YEATS,subset,true,true,yes,fusion_transcript,high,PMID:15188459,AML t(9;11); KMT2A=MLL; MLLT3=AF9; promiscuous MLL partner
LAML,KMT2A-MLLT10,KMT2A,ENSG00000118058,gene,KMT/HMTase,MLLT10,ENSG00000078403,gene,MLL partner,subset,true,false,yes,fusion_transcript,medium,PMID:9305618,t(10;11); MLLT10=AF10
LAML,KMT2A-ELL,KMT2A,ENSG00000118058,gene,KMT/HMTase,ELL,ENSG00000105656,gene,,subset,true,true,yes,fusion_transcript,medium,PMID:26949571,t(11;19)(q23;p13.1)
LAML,KMT2A-MLLT1,KMT2A,ENSG00000118058,gene,KMT/HMTase,MLLT1,ENSG00000130382,gene,YEATS,subset,true,true,yes,fusion_transcript,medium,PMID:16875930,t(11;19)(q23;p13.3); MLLT1=ENL
LAML,DEK-NUP214,DEK,ENSG00000124795,gene,,NUP214,ENSG00000126883,gene,nucleoporin,rare,true,true,yes,fusion_transcript,high,PMID:32526729,t(6;9)(p23;q34); FLT3-ITD-associated; poor prognosis; NUP214=CAN
LAML,NUP98-NSD1,NUP98,ENSG00000110713,gene,nucleoporin,NSD1,ENSG00000165671,gene,KMT/HMTase,rare,true,true,yes,fusion_transcript,medium,PMID:11493482,t(5;11); cryptic; pediatric AML; poor prognosis
LAML,NUP98-KDM5A,NUP98,ENSG00000110713,gene,nucleoporin,KDM5A,ENSG00000073614,gene,,rare,true,true,yes,fusion_transcript,low,PMID:23531517,t(11;12); KDM5A=JARID1A; acute megakaryoblastic
LAML,RBM15-MKL1,RBM15,ENSG00000162775,gene,,MKL1,ENSG00000196588,gene,MRTF,rare,true,true,yes,fusion_transcript,medium,PMID:11746984,"t(1;22); infant acute megakaryoblastic leukemia; MKL1=MRTFA, RBM15=OTT"
LAML_APL,PML-RARA,PML,ENSG00000140464,gene,TRIM/PML,RARA,ENSG00000131759,gene,nuclear receptor,~95%,true,true,yes,fusion_transcript,high,PMID:1652369,acute promyelocytic leukemia; t(15;17)(q24;q21); ATRA/ATO responsive
LAML_APL,ZBTB16-RARA,ZBTB16,ENSG00000109906,gene,BTB-ZF TF,RARA,ENSG00000131759,gene,nuclear receptor,rare,true,true,yes,fusion_transcript,high,PMID:8302850,t(11;17); ZBTB16=PLZF; ATRA-resistant variant
LAML_APL,NPM1-RARA,NPM1,ENSG00000181163,gene,nucleophosmin,RARA,ENSG00000131759,gene,nuclear receptor,rare,true,true,yes,fusion_transcript,medium,PMID:8562957,t(5;17) variant APL
CML,BCR-ABL1,BCR,ENSG00000186716,gene,,ABL1,ENSG00000097007,gene,non-RTK kinase,~100%,true,false,yes,fusion_transcript,high,PMID:40360311,chronic myeloid leukemia; t(9;22) Philadelphia; p210 (e13a2/e14a2); TKI responsive
B_ALL,BCR-ABL1,BCR,ENSG00000186716,gene,,ABL1,ENSG00000097007,gene,non-RTK kinase,~25%,true,false,yes,fusion_transcript,high,PMID:35834222,Ph+ B-ALL; adults more often; p190 (e1a2) typical; TKI responsive
B_ALL,ETV6-RUNX1,ETV6,ENSG00000139083,gene,ETS,RUNX1,ENSG00000159216,gene,CBF,~25%,true,true,yes,fusion_transcript,high,PMID:28418909,"childhood B-ALL; t(12;21)(p13;q22) cryptic; ETV6=TEL, RUNX1=AML1; favorable"
B_ALL,TCF3-PBX1,TCF3,ENSG00000071564,gene,bHLH(E-protein),PBX1,ENSG00000185630,gene,homeobox(TALE),~5%,true,true,yes,fusion_transcript,high,PMID:19713226,t(1;19)(q23;p13); TCF3=E2A; pre-B
B_ALL,KMT2A-AFF1,KMT2A,ENSG00000118058,gene,KMT/HMTase,AFF1,ENSG00000172493,gene,AF4/LAF4,subset,true,true,yes,fusion_transcript,high,PMID:26463423,t(4;11)(q21;q23); infant B-ALL; AFF1=AF4; poor prognosis
B_ALL,DUX4-IGH,IGH,,immunoglobulin_locus,Ig locus,DUX4,ENSG00000260596,gene,homeobox,subset,true,true,surrogate,ig_enhancer_hijack,medium,PMID:27019113,DUX4-rearranged B-ALL; IGH enhancer drives DUX4; ERG deregulation; favorable; orientation per IGH-enhancer juxtaposition
B_ALL,P2RY8-CRLF2,P2RY8,ENSG00000182162,gene,,CRLF2,ENSG00000205755,gene,cytokine receptor,subset,true,true,surrogate,promoter_swap,medium,PMID:19838194,Ph-like; PAR1 deletion places CRLF2 under P2RY8 promoter; CRLF2 overexpression
B_ALL,IGH-CRLF2,IGH,,immunoglobulin_locus,Ig locus,CRLF2,ENSG00000205755,gene,cytokine receptor,subset,true,true,surrogate,ig_enhancer_hijack,medium,PMID:28033648,Ph-like; IGH enhancer drives CRLF2; JAK pathway activation
T_ALL,STIL-TAL1,STIL,ENSG00000123473,gene,,TAL1,ENSG00000162367,gene,bHLH,subset,true,true,surrogate,promoter_swap,high,PMID:8350619,T-ALL; SIL-TAL1 microdeletion 1p32 places TAL1 under STIL promoter; TAL1 overexpression
T_ALL,TLX1-TRD,TRD,,tcr_locus,TCR locus,TLX1,ENSG00000107807,gene,homeobox,subset,true,true,surrogate,enhancer_hijack,medium,PMID:7719228,t(10;14)/t(7;10); TCR enhancer drives TLX1 (HOX11) overexpression
T_ALL,TLX3-BCL11B,BCL11B,ENSG00000127152,gene,,TLX3,ENSG00000164438,gene,homeobox,subset,true,true,surrogate,enhancer_hijack,medium,PMID:17308084,t(5;14)(q35;q32); TLX3=HOX11L2 overexpression via BCL11B enhancer
T_ALL,NUP214-ABL1,NUP214,ENSG00000126883,gene,nucleoporin,ABL1,ENSG00000097007,gene,non-RTK kinase,subset,true,true,yes,fusion_transcript,medium,PMID:15361874,episomal amplification 9q34; TKI-sensitive T-ALL
T_ALL,KMT2A-MLLT10,KMT2A,ENSG00000118058,gene,KMT/HMTase,MLLT10,ENSG00000078403,gene,MLL partner,subset,true,false,yes,fusion_transcript,medium,PMID:30203571,t(10;11); MLLT10=AF10; early T-cell precursor associated
MCL,CCND1-IGH,IGH,,immunoglobulin_locus,Ig locus,CCND1,ENSG00000110092,gene,cyclin,~95%,true,false,surrogate,ig_enhancer_hijack,high,PMID:40381701,mantle cell lymphoma; t(11;14)(q13;q32)/IGH::CCND1 genetic hallmark reported in about 95% of cases; IGH enhancer drives cyclin D1; no chimeric transcript; cyclin D1 IHC/FISH surrogate
FL,BCL2-IGH,IGH,,immunoglobulin_locus,Ig locus,BCL2,ENSG00000171791,gene,BCL2/apoptosis,~85%,true,false,surrogate,ig_enhancer_hijack,high,PMID:18684042,follicular lymphoma; t(14;18)(q32;q21); IGH enhancer drives BCL2 anti-apoptotic overexpression
BL,MYC-IGH,IGH,,immunoglobulin_locus,Ig locus,MYC,ENSG00000136997,gene,,~80%,true,false,surrogate,ig_enhancer_hijack,high,PMID:23673335,Burkitt lymphoma; t(8;14)(q24;q32); IGH enhancer drives MYC
BL,MYC-IGK,IGK,,immunoglobulin_locus,Ig locus,MYC,ENSG00000136997,gene,,minority,true,true,surrogate,ig_enhancer_hijack,high,PMID:11795942,variant t(2;8); IGK light-chain enhancer drives MYC
BL,MYC-IGL,IGL,,immunoglobulin_locus,Ig locus,MYC,ENSG00000136997,gene,,minority,true,true,surrogate,ig_enhancer_hijack,high,PMID:16888615,variant t(8;22); IGL light-chain enhancer drives MYC
DLBC,BCL6-IGH,IGH,,immunoglobulin_locus,Ig locus,BCL6,ENSG00000113916,gene,BTB-ZF TF,subset,false,false,surrogate,ig_enhancer_hijack,medium,PMID:36575004,DLBCL; BCL6 (3q27) promiscuous rearrangements; many non-Ig partners; BCL6 overexpression
DLBC,MYC-IGH,IGH,,immunoglobulin_locus,Ig locus,MYC,ENSG00000136997,gene,,subset,false,false,surrogate,ig_enhancer_hijack,medium,PMID:25229766,double-hit / HGBL with MYC + BCL2 (and/or BCL6) rearrangements; aggressive
DLBC,BCL2-IGH,IGH,,immunoglobulin_locus,Ig locus,BCL2,ENSG00000171791,gene,BCL2/apoptosis,subset,false,false,surrogate,ig_enhancer_hijack,medium,PMID:20660332,double-hit partner lesion (GCB-DLBCL)
MM,CCND1-IGH,IGH,,immunoglobulin_locus,Ig locus,CCND1,ENSG00000110092,gene,cyclin,~15-20%,true,false,surrogate,ig_enhancer_hijack,high,PMID:35982976,multiple myeloma; t(11;14); cyclin D1 overexpression; venetoclax-sensitive subset
MM,NSD2-IGH,IGH,,immunoglobulin_locus,Ig locus,NSD2,ENSG00000109685,gene,KMT/HMTase,~15%,true,true,surrogate,ig_enhancer_hijack,high,PMID:12139740,t(4;14)(p16;q32); NSD2=WHSC1/MMSET + FGFR3 dysregulation; high-risk
