burden_category,us_incidence_pct,us_incidence_count,us_incidence_total,us_mortality_pct,us_mortality_count,us_mortality_total,world_incidence_pct,world_incidence_count,world_incidence_total,world_mortality_pct,world_mortality_count,world_mortality_total,confidence,source,us_source_locator,us_source_locator_status,world_source_locator,world_source_locator_status,source_site_labels,source_site_codes,included_source_sites,excluded_source_sites,derivation_basis,rounding_rule,provenance_notes,notes,aggregation,source_anchor
soft_tissue_sarcoma,0.65,,,0.4,,,0.4,,,0.3,,,low,ACS-CFF2024;literature,,not_extracted,,not_extracted,,,,,literature_approximation,not_extracted,ACS 2024 plus global soft-tissue and extraosseous sarcoma burden literature; excludes primary bone sarcoma,STS excl bone,STS excl bone,PMID:38230766;PMID:39498209
gallbladder_biliary,0.62,,,0.77,,,0.9,,,1.0,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,sum_of_sites,not_extracted,,extrahepatic biliary+gallbladder (intrahepatic=liver),extrahepatic_biliary+gallbladder (intrahepatic=liver),PMID:38230766;DOI:10.3322/caac.21834
small_intestine,0.62,,,0.36,,,0.3,,,0.2,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,sum_of_sites,not_extracted,,carcinoid+adeno,carcinoid+adenocarcinoma,PMID:38230766;DOI:10.3322/caac.21834
anus,0.53,,,0.36,,,0.3,,,0.2,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,HPV-driven SCC,single_site,PMID:38230766;DOI:10.3322/caac.21834
vulva,0.34,,,0.27,,,0.2,,,0.1,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,sum_of_sites,not_extracted,,HPV+lichen sclerosus,single_site,PMID:38230766;DOI:10.3322/caac.21834
vagina,0.07,,,0.07,,,0.1,,,0.1,,,low,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,rare HPV-driven,single_site,PMID:38230766;DOI:10.3322/caac.21834
penis,0.05,,,0.01,,,0.2,,,0.1,,,low,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,world higher,single_site,PMID:38230766;DOI:10.3322/caac.21834
eye_ocular,0.17,,,0.06,,,0.05,,,0.04,,,low,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,sum_of_sites,not_extracted,,uveal melanoma + retinoblastoma,uveal_melanoma+retinoblastoma,PMID:38230766;DOI:10.3322/caac.21834
kaposi_sarcoma,0.02,,,0.02,,,0.2,,,0.2,,,low,GLOBOCAN2022;literature,,not_extracted,,not_extracted,,,,,literature_approximation,not_extracted,GLOBOCAN 2022 plus population-based Kaposi sarcoma trends; US values remain curated rare-cancer approximations,HIV/HHV8; world>>US,single_site,DOI:10.3322/caac.21834;DOI:10.1016/S2214-109X(23)00349-2
other_and_unknown_primary,3.94,,,12.15,,,6.0,,,8.71,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,residual,not_extracted,,ill-defined/unknown primary + minor untabulated sites (residual to 100%),residual_to_100 (ill-defined/unknown primary + minor untabulated sites),PMID:38230766;DOI:10.3322/caac.21834
non_melanoma_skin,0.0,,,0.3,,,0.0,,,0.2,,,low,ACS-CFF2024,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,keratinocyte BCC/cSCC; excluded from standard incidence registries (not reportable); small mortality share,keratinocyte_BCC+cSCC (non-reportable; excluded from incidence registries),PMID:38230766
