cancer_code,source_status,reference_code,source_project,source_cohort,accession,source_url,assay,source_scope,estimated_samples,processing_plan,gene_id_plan,normalization_plan,notes
MBL_G3,scRNA_candidate_ready,MBL,GEO,GSE155446,GSE155446,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155446,single-cell RNA-seq,childhood medulloblastoma Group 3 neoplastic cells,7,Pseudobulk human neoplastic cells by sample then aggregate Group 3,10x feature IDs or symbols harmonized to Ensembl112,nTPM-like pseudobulk and TPM_clean,GEO metadata reports 7 GP3 tumors with raw counts and cell metadata
MBL_G4,scRNA_candidate_ready,MBL,GEO,GSE155446,GSE155446,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155446,single-cell RNA-seq,childhood medulloblastoma Group 4 neoplastic cells,11,Pseudobulk human neoplastic cells by sample then aggregate Group 4,10x feature IDs or symbols harmonized to Ensembl112,nTPM-like pseudobulk and TPM_clean,GEO metadata reports 11 GP4 tumors with raw counts and cell metadata
MBL_SHH,scRNA_candidate_ready,MBL,GEO,GSE155446,GSE155446,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155446,single-cell RNA-seq,childhood medulloblastoma SHH neoplastic cells,9,Pseudobulk human neoplastic cells by sample then aggregate SHH,10x feature IDs or symbols harmonized to Ensembl112,nTPM-like pseudobulk and TPM_clean,GEO metadata reports 9 SHH tumors with raw counts and cell metadata
MBL_WNT,scRNA_candidate_ready,MBL,GEO,GSE155446,GSE155446,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155446,single-cell RNA-seq,childhood medulloblastoma WNT neoplastic cells,1,Pseudobulk human neoplastic cells by sample then aggregate WNT,10x feature IDs or symbols harmonized to Ensembl112,nTPM-like pseudobulk and TPM_clean,GEO metadata reports 1 WNT tumor with raw counts and cell metadata
SCLC_ASCL1,direct_reference_available,SCLC_ASCL1,University of Cologne,SCLC_UCOLOGNE_2015,SCLC_UCOLOGNE_2015,,bulk RNA-seq,ASCL1-dominant SCLC samples,61,Use the packaged transcription-factor-dominance split from the SCLC_UCOLOGNE_2015 cohort,symbols harmonized to Ensembl112,TPM and TPM_clean,The selected subtype matrix and candidate derive from the same physical SCLC cohort
SCLC_NEUROD1,direct_reference_available,SCLC_NEUROD1,University of Cologne,SCLC_UCOLOGNE_2015,SCLC_UCOLOGNE_2015,,bulk RNA-seq,NEUROD1-dominant SCLC samples,8,Use the packaged transcription-factor-dominance split from the SCLC_UCOLOGNE_2015 cohort,symbols harmonized to Ensembl112,TPM and TPM_clean,The selected subtype matrix and candidate derive from the same physical SCLC cohort
SCLC_POU2F3,direct_reference_available,SCLC_POU2F3,University of Cologne,SCLC_UCOLOGNE_2015,SCLC_UCOLOGNE_2015,,bulk RNA-seq,POU2F3-dominant SCLC samples,10,Use the packaged transcription-factor-dominance split from the SCLC_UCOLOGNE_2015 cohort,symbols harmonized to Ensembl112,TPM and TPM_clean,The selected subtype matrix and candidate derive from the same physical SCLC cohort
SCLC_YAP1,direct_reference_available,SCLC_YAP1,University of Cologne,SCLC_UCOLOGNE_2015,SCLC_UCOLOGNE_2015,,bulk RNA-seq,YAP1-dominant SCLC samples,2,Use the packaged transcription-factor-dominance split from the SCLC_UCOLOGNE_2015 cohort,symbols harmonized to Ensembl112,TPM and TPM_clean,The selected subtype matrix and candidate derive from the same physical SCLC cohort
FL,scRNA_candidate_needs_malignant_selection,,GEO,GSE261917,GSE261917,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261917,single-cell RNA-seq,follicular lymphoma lymph-node CD45-positive and CD45-negative cells,3,Pseudobulk malignant FL B cells only after reproducible malignant-cell or clonotype selection,10x feature IDs or symbols harmonized to Ensembl112,nTPM-like pseudobulk and TPM_clean,Raw matrices are public but malignant-cell selection needs explicit reproducible rule
HCL,direct_reference_available,HCL,Zenodo,ZENODO_14917813_BOHN_2026_HCL,DOI:10.5281/zenodo.14917813,https://zenodo.org/records/14917813,malignant-cell scRNA pseudobulk,5 pretreatment primary classic-HCL donors with one author-annotated malignant-cell T0 pseudobulk per donor,5,Select only the published T0 pseudobulks and rename artifact-local sample IDs to donor IDs P2-P6; retain P1 as excluded because no T0 profile is published,Unique source symbols harmonized to the Ensembl 112 canonical gene space,Donor UMI pseudobulk converted to nTPM then TPM_clean,Direct HCL identity from author diagnosis and malignant-cell annotation; no per-donor BRAF V600E call is inferred; proxy scale is not bulk-TPM comparable or independently classification-ready
HL,source_needed,,,,,,unknown,Hodgkin lymphoma Reed-Sternberg tumor cells,,Find public RNA-seq or scRNA-seq with malignant HRS-cell selection and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM or nTPM-like pseudobulk and TPM_clean,Direct tumor signal requires malignant-cell selection because HRS cells are rare
PCN,parent_reference_only,MM,MMRF CoMMpass,MMRF_COMMPASS,MMRF_COMMPASS,https://portal.gdc.cancer.gov/projects/MMRF-COMMPASS,bulk RNA-seq,plasma-cell parent reference,764,Use packaged MM parent until a direct plasmacytoma cohort is validated,GENCODE IDs harmonized to Ensembl112,TPM and TPM_clean,Solitary plasmacytoma is parented to MM for expression fallback
NET_LUNG,source_needed,,,,,,unknown,lung typical or atypical carcinoid primary tumors,,Find public RNA-seq with carcinoid-specific labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Do not substitute SCLC or LCNEC
NEC_LUNG_LARGECELL,source_needed,,,,,,unknown,lung large-cell neuroendocrine carcinoma primary tumors,,Find public RNA-seq with LCNEC labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Needs separation from carcinoid and SCLC
NET_MIDGUT,source_needed,,,,,,unknown,midgut or small-bowel neuroendocrine tumor primary tumors,,Find public RNA-seq with midgut NET labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,PanNET source should not be reused for midgut NET
MTC,source_needed,,,,,,unknown,medullary thyroid carcinoma primary tumors,,Find public RNA-seq with MTC labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,TCGA THCA is follicular-cell thyroid carcinoma and is not an MTC reference
NPC,bulk_candidate_ready,,GEO,GSE102349,GSE102349,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102349,bulk RNA-seq,treatment-naive undifferentiated nasopharyngeal carcinoma tumors,113,Import processed mRNA matrix and aggregate all tumor samples,source matrix gene identifiers to be inspected and harmonized to Ensembl112,TPM if present else length-normalized TPM then TPM_clean,GEO reports 113 fresh treatment-naive NPC tumors with processed matrix
NEC_MERKEL,direct_reference_available,NEC_MERKEL,GEO,GSE235092_MERKEL_2024,GSE235092,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235092,bulk RNA-seq,Merkel cell carcinoma tumor samples,91,Use the packaged tumor-only GSE235092 matrix,gene symbols harmonized to Ensembl112,length-normalized TPM and TPM_clean,The selected reference and candidate are the same physical GSE235092 source
ADCC,direct_reference_available,ADCC,GEO,GSE294016_BARTL_2025_SGC,GSE294016,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294016,bulk RNA-seq,diagnosis-confirmed advanced salivary adenoid cystic carcinoma sample rows,57,Use the packaged Supplementary Dataset 1 diagnosis split; all non-ACC histologies are excluded,versioned Ensembl IDs harmonized to the oncoref canonical space,TPM and TPM_clean,The selected reference and candidate are the same physical GSE294016 source
ACINIC,direct_reference_available,ACINIC,GEO,GSE294016_BARTL_2025_SGC,GSE294016,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294016,bulk RNA-seq,diagnosis-confirmed advanced salivary acinic cell carcinoma sample rows,3,Use the packaged Supplementary Dataset 1 diagnosis split; all non-AciCC histologies are excluded,versioned Ensembl IDs harmonized to the oncoref canonical space,TPM and TPM_clean,The selected reference and candidate are the same physical GSE294016 source
CHOL,direct_reference_available,CHOL,Treehouse (TCGA samples),TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,GSE294351,https://public.gi.ucsc.edu/~ekephart/public-data/#tumor_25.01_polya,bulk RNA-seq,Treehouse TCGA-provenance cholangiocarcinoma samples,36,Use the packaged Treehouse TCGA-provenance CHOL matrix,HUGO symbols harmonized to Ensembl112,log2(TPM+1) inverse-transformed then TPM_clean,The row names the selected Treehouse physical source; a future direct GDC build remains a separate acquisition source
BCC,direct_reference_available,BCC,GEO,GSE125285_BCC_CSCC,GSE125285,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125285,bulk RNA-seq CPM proxy,diagnosis-confirmed primary basal cell carcinoma tumors from the paired BCC and cSCC study,25,Use the checksum-pinned processed matrix and GEO SOFT; route BCC tumor rows only and retain matched adjacent normals as explicit exclusions,Slash-wrapped source symbols stripped and harmonized uniquely to Ensembl112,Author log2(CPM+1) inverse-transformed and rescaled to nCPM proxy then TPM_clean,Direct BCC reference; the CPM proxy preserves within-sample rank but is not bulk-TPM comparable or independently classification-ready
cSCC,direct_reference_available,cSCC,GEO,GSE125285_BCC_CSCC,GSE125285,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125285,bulk RNA-seq CPM proxy,diagnosis-confirmed primary cutaneous squamous cell carcinoma tumors from the paired BCC and cSCC study,10,Use the checksum-pinned processed matrix and GEO SOFT; route cSCC tumor rows only and retain matched adjacent normals and all BCC rows outside the cSCC reference,Slash-wrapped source symbols stripped and harmonized uniquely to Ensembl112,Author log2(CPM+1) inverse-transformed and rescaled to nCPM proxy then TPM_clean,Direct cSCC reference; the CPM proxy preserves within-sample rank but is not bulk-TPM comparable or independently classification-ready
VSCC,bulk_candidate_needs_quantification,,NCBI SRA,PRJNA994918_VSCC,PRJNA994918,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA994918,bulk RNA-seq,primary vulvar squamous cell carcinoma tumors,9,Quantify public tumor libraries and aggregate at the donor level after diagnosis and library audit,quantified genes harmonized uniquely to Ensembl112,counts to length-normalized TPM then TPM_clean,Small cohort; preserve HPV status only when directly annotated
VAGC,deferred_no_dedicated_source,,,,,,unknown,dedicated primary vaginal carcinoma tumors,,Re-audit public repositories when a diagnosis-specific reusable cohort appears,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Do not substitute cervical or vulvar SCC as a direct vaginal carcinoma reference
FTC,deferred_pooled_source_not_direct,OV,TCGA,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,TCGA-OV,https://portal.gdc.cancer.gov/projects/TCGA-OV,bulk RNA-seq,pooled tubo-ovarian high-grade serous carcinoma without separable fallopian-tube provenance,,Do not promote until sample-level anatomic provenance separates fallopian-tube primaries,GENCODE IDs are harmonized to Ensembl112 in the existing parent source,parent RNA-seq scale remains parent-only,TCGA-OV cannot be presented as a direct fallopian-tube measurement
PPC,deferred_pooled_source_not_direct,OV,TCGA,TREEHOUSE_POLYA_25_01_TCGA_SAMPLES,TCGA-OV,https://portal.gdc.cancer.gov/projects/TCGA-OV,bulk RNA-seq,pooled tubo-ovarian high-grade serous carcinoma without separable peritoneal provenance,,Do not promote until sample-level anatomic provenance separates primary peritoneal tumors,GENCODE IDs are harmonized to Ensembl112 in the existing parent source,parent RNA-seq scale remains parent-only,TCGA-OV cannot be presented as a direct primary-peritoneal measurement
PENSCC,microarray_proxy_only,,GEO,GSE57955,GSE57955,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57955,microarray,penile squamous cell carcinoma tumors,39,Map array probes and retain only diagnosis-confirmed tumor samples for marker and rank validation,platform probes mapped uniquely to Ensembl112,microarray-normalized proxy scale only,GSE57955 must not be mixed into RNA-seq centroids or make PENSCC classification-ready
URETH,deferred_no_dedicated_source,,,,,,unknown,dedicated primary urethral carcinoma tumors,,Re-audit public repositories when a histology-resolved reusable cohort appears,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Do not substitute TCGA-BLCA as a direct urethral carcinoma reference
ANSC,bulk_candidate_needs_sample_selection,,GEO,GSE253560,GSE253560,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253560,bulk RNA-seq,anal squamous cell carcinoma processed-count tumor samples,70,Audit sample metadata and import diagnosis-confirmed independent tumor donors,source count identifiers harmonized uniquely to Ensembl112,counts to length-normalized TPM then TPM_clean,GSE254331 is a larger ASCC-only lead for a later acquisition comparison
GBC,direct_reference_available,GBC,GEO,GSE139682_GBC,GSE139682,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139682,bulk RNA-seq,primary gallbladder cancer tumors with matched normal gallbladder controls,10,Use the checksum-pinned processed matrix and GEO SOFT; route all tumor rows and retain matched normals as explicit exclusions,Source gene symbols harmonized uniquely to Ensembl112,Author RPKM renormalized within each sample to TPM then TPM_clean,Direct small-n GBC reference; n=10 is retained for reference and discriminator evidence but is not independently classification-ready
EPN,direct_reference_available,EPN,GEO,GSE141460_GOJO_2020_EPN,GSE141460,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141460,single-cell/single-nucleus RNA-seq,diagnosis-stage ependymoma patient specimens with author-labeled malignant cells,11,Join all 28 patient tissue matrices to clinical Table S1 and retain only diagnosis-stage malignant-cell profiles; preserve recurrent and normal-only specimens as explicit exclusions,Source gene symbols harmonized uniquely to Ensembl112,Author per-cell TPM averaged within each patient then rescaled to nTPM and TPM_clean,Direct reference-only EPN pseudobulk; 15 recurrent specimens and two diagnostic specimens without author-labeled malignant cells are excluded; proxy scale is not bulk-TPM comparable or classification-ready
PITNET,microarray_proxy_only,,GEO,GSE147786,GSE147786,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147786,microarray,pituitary neuroendocrine tumor samples,,Map array probes and audit transcription-factor lineage labels for marker and rank validation,platform probes mapped uniquely to Ensembl112,microarray-normalized proxy scale only,Proxy data must not be mixed into RNA-seq centroids or make PITNET classification-ready
CRANIO,bulk_candidate_needs_sample_selection,,OpenPBTA/CBTN,OPENPBTA_CBTN_CRANIO,OpenPBTA,https://github.com/AlexsLemonade/OpenPBTA-analysis,bulk RNA-seq,diagnosis-confirmed craniopharyngioma primary tumors,,Route diagnosis-confirmed tumor rows by donor and preserve adamantinomatous versus papillary labels when sourced,source gene identifiers harmonized uniquely to Ensembl112,verify source unit before TPM conversion and TPM_clean,GSE68015 is a lower-priority microarray proxy and must remain cross-platform validation only
DIPG,bulk_candidate_needs_sample_selection,,OpenPBTA/PNOC003,OPENPBTA_PNOC003_DIPG,OpenPBTA;PNOC003,https://github.com/AlexsLemonade/OpenPBTA-analysis,bulk RNA-seq,diagnosis-confirmed H3 K27-altered diffuse midline glioma primary tumors,,Route one independent pretreatment tumor profile per donor; include only samples with direct H3 K27-altered molecular evidence,source gene identifiers harmonized uniquely to Ensembl112,verify source unit before TPM conversion and TPM_clean,GSE115397 is a small bulk alternative; exclude unannotated and H3-wild-type cases and do not infer H3 status from expression
GCT_OV_YST,bulk_candidate_needs_scale_verification,,GEO,GSE169733_OV_YST,GSE169733,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169733,bulk RNA-seq,ovarian yolk-sac tumor profiles,10,Verify the processed expression unit and collapse repeated samples to one donor-level profile before aggregation,source gene identifiers harmonized uniquely to Ensembl112,derive TPM only if the published unit and gene lengths support it then TPM_clean,Twelve GEO libraries map to ten donor IDs; GSE247518 is miRNA and is rejected as an mRNA reference
GCT_OV_IMT,scRNA_candidate_needs_malignant_selection,,GEO,GSE229343_OV_IMT,GSE229343,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229343,single-cell RNA-seq,grade-3 patient-derived ovarian immature teratomas,3,Select tumor-derived immature neuroectodermal compartments reproducibly and pseudobulk once per patient,processed feature identifiers harmonized uniquely to Ensembl112,nTPM-like patient pseudobulk and TPM_clean,Processed Seurat data are public; GSE156170 is a stem-cell-derived model and is rejected as a patient-tumor reference
GCT_OV_DYS,scRNA_candidate_needs_malignant_selection,,Laga et al. 2025 BJC,LAGA_2025_OV_GCT_SCRNA,DOI:10.1038/s41416-025-03012-6,https://doi.org/10.1038/s41416-025-03012-6,single-cell RNA-seq,one primary ovarian dysgerminoma donor,1,Use public counts only after reproducible malignant-compartment selection and patient-level pseudobulk,source feature identifiers harmonized uniquely to Ensembl112,nTPM-like patient pseudobulk and TPM_clean,One dysgerminoma donor is acquisition evidence only; raw reads are controlled and no reference is selected
GCT_CNS_GER,microarray_proxy_only,,GEO,GSE19348_CNS_GCT,GSE19348,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19348,microarray,pediatric primary CNS germinoma samples within a 13-case mixed-histology series,,Map GPL570 probes and route only sample rows with explicit germinoma histology,platform probes mapped uniquely to Ensembl112,microarray-normalized proxy scale only,HRA003398 is a controlled-access RNA-seq lead; the array proxy cannot make CNS germinoma classification-ready
GCT_CNS_NGGCT,microarray_proxy_only,,GEO,GSE19348_CNS_GCT,GSE19348,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19348,microarray,pediatric primary CNS nongerminomatous germ-cell tumor samples within a 13-case mixed-histology series,,Map GPL570 probes and route only sample rows with auditable nongerminomatous histology,platform probes mapped uniquely to Ensembl112,microarray-normalized proxy scale only,Mixed and composite tumors require explicit routing; HRA003398 remains a controlled-access RNA-seq lead
SARC_ESS_HG,source_needed,,,,,,unknown,high-grade endometrial stromal sarcoma primary tumors,,Find public RNA-seq with HG-ESS labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Needs direct cohort separate from uterine carcinoma
SARC_ESS_LG,source_needed,,,,,,unknown,low-grade endometrial stromal sarcoma primary tumors,,Find public RNA-seq with LG-ESS labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Needs direct cohort separate from uterine carcinoma
SARC_GCTB,source_needed,,,,,,unknown,giant cell tumor of bone primary tumors,,Find public RNA-seq with GCTB labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Do not substitute osteosarcoma or chondrosarcoma
SARC_ANGIO,source_needed,SARC,,,,,unknown,angiosarcoma primary tumors,,Find public RNA-seq with angiosarcoma labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_ASPS,bulk_candidate_ready,SARC,GEO,GSE54729,GSE54729,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54729,bulk RNA-seq,human alveolar soft part sarcoma tumors,5,Import human ASPS tumor samples and exclude normal muscle and mouse rows,source matrix gene identifiers to be inspected and harmonized to Ensembl112,TPM if present else length-normalized TPM then TPM_clean,GEO reports five human ASPS tumors
SARC_CCS,source_needed,SARC,,,,,unknown,clear cell sarcoma primary tumors,,Find public RNA-seq with CCS labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_DFSP,source_needed,SARC,,,,,unknown,dermatofibrosarcoma protuberans primary tumors,,Find public RNA-seq with DFSP labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_DSRCT,source_needed,SARC,,,,,unknown,desmoplastic small round cell tumor primary tumors,,Find public RNA-seq with DSRCT labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_EHE,source_needed,SARC,,,,,unknown,epithelioid hemangioendothelioma primary tumors,,Find public RNA-seq with EHE labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_EMC,source_needed,SARC,,,,,unknown,extraskeletal myxoid chondrosarcoma primary tumors,,Find public RNA-seq with EMC labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_EPITH,source_needed,SARC,,,,,unknown,epithelioid sarcoma primary tumors,,Find public RNA-seq with epithelioid sarcoma labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_GIST,scRNA_candidate_ready,SARC,GEO,GSE162115,GSE162115,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162115,single-cell RNA-seq,GIST intra-tumor malignant cells,4,Pseudobulk tumor-cell clusters from GIST tumor samples and exclude peri-tumor cells,10x feature IDs or symbols harmonized to Ensembl112,nTPM-like pseudobulk and TPM_clean,GEO reports GIST tumor and peri-tumor scRNA with tumor-cell clusters
SARC_IFS,direct_reference_available,SARC_IFS,Treehouse,TREEHOUSE_POLYA_25_01,GSE294351,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294351,bulk RNA-seq,Diagnosis-labelled infantile fibrosarcoma,2,Keep PolyA selected and expose RiboD as a separate physical source,HUGO symbols harmonized to Ensembl112,TPM and TPM_clean,Selected PolyA reference has two donors; Treehouse RiboD adds three public libraries from two additional donors without pooling library protocols; molecular status remains unknown unless sample-level evidence exists
CMN,cross_platform_validation_available,CMN,GEO,GSE11482_GADD_2010_CMN,GSE11482,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11482,microarray TPM proxy,Cellular congenital mesoblastic nephroma primary tumors,12,Use for marker/rank validation and expose the one-sample Treehouse RiboD RNA-seq source separately,Affymetrix GPL96 probes mapped to Ensembl112,TPM proxy only,Canonical CMN entity remains non-classifying; never pool the array proxy with RNA-seq or infer a driver from diagnosis
SARC_IMT,source_needed,SARC,,,,,unknown,inflammatory myofibroblastic tumor primary tumors,,Find public RNA-seq with IMT labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_KS,source_needed,SARC,,,,,unknown,Kaposi sarcoma primary tumors,,Find public RNA-seq with Kaposi sarcoma labels and reusable matrix,prefer Ensembl IDs else unique symbol rescue,TPM and TPM_clean,Currently falls back to SARC parent only
SARC_MPNST,bulk_candidate_ready,SARC,GEO,GSE207400,GSE207400,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207400,bulk RNA-seq,malignant peripheral nerve sheath tumor samples,48,Import bulk RNA-seq matrix and aggregate malignant PNST rows by sample metadata,source matrix gene identifiers to be inspected and harmonized to Ensembl112,TPM if present else length-normalized TPM then TPM_clean,GEO supplies bulk RNA-seq matrix for PNST molecular subgroups
SARC_MMNST,direct_reference_available,SARC_MMNST,NCBI SRA Gene Feature counts,SRP493407_MMNST_2024,PRJNA1083972,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1083972,bulk RNA-seq,3 melanotic schwannoma (MMNST) tumors plus 3 independent normal-nerve controls,3,Run scripts/build_sra_ncbi_counts_source.py from the checksum-pinned six-analysis manifest; route only SRR28227824/25/26 into SARC_MMNST,NCBI GeneIDs harmonized to canonical Ensembl gene IDs with explicit mapping and gene-length audits,NCBI gene counts converted to TPM then TPM_clean,Official NCBI processed counts avoid raw-read re-quantification; ultra-rare tumor n=3; independent controls remain audit-only; paper PMID:41995777
SARC_MYXLPS,parent_reference_only,SARC,TCGA,TCGA_XENA_TOIL,TCGA-SARC,https://portal.gdc.cancer.gov/projects/TCGA-SARC,bulk RNA-seq,TCGA SARC parent cohort,,Use SARC parent until a direct myxoid liposarcoma cohort is validated,TCGA/HPA IDs already packaged,TPM and TPM_clean,Direct myxoid liposarcoma source still needed
